飞周兄弟 | 还不认亲? | non-hate | non-hate [END]
广黑吧 | 没了吗? | non-hate | non-hate [END]
你 | 是不是在造谣 | non-hate | non-hate [END]
男权 | 男女平权 | non-hate | non-hate [END]
这 | 很nigge | non-hate | non-hate [END]
你 | 这是在追求男女平等 | non-hate | non-hate [END]
你 | 别以为中国人会吃政治正确那一套 | non-hate | non-hate [END]
中国人 | 为啥要吹黑人性能力 | Sexism, Racism | hate [END]
田楠 | 骗婚骗炮的 | Sexism | hate [END]
这个视频 | 比较恶臭 | non-hate | non-hate [END]
答主 | 滚出中国 | non-hate | non-hate [END]
异性恋 | 不接受 | non-hate | non-hate [END]
广东 | 常常刮台风,下大雨,下大雨,最多也只是水浸街 | non-hate | non-hate [END]
女拳 | 会和女拳站一边吗? | Sexism | hate [END]
黑化的法国 | 也完蛋了 | Region | hate [END]
带头的 | 铁nt | non-hate | non-hate [END]
她 | 跨种族跨文化优越感就会变得越充实,就会越相信黑人的社会文化 | Racism | hate [END]
阿三 | 未来可能会像阿三一样,到处黑公交 | Region | hate [SEP] 日本 | 只喜欢嫁给有钱人 | Sexism | hate [END]
它 | 建议网络安全举报网址举报它送它上西天 | non-hate | non-hate [END]
混血儿 | 聪明没有任何科学依据 | non-hate | non-hate [END]
吧主 | 别犯贱乱删 | non-hate | non-hate [END]
你 | 南满 | non-hate | non-hate [END]
既得利益者 | 指责被剥削者了 | non-hate | non-hate [END]
湖北和陕西 | 嘴里说什么我都不稀奇 | non-hate | non-hate [END]
男性荷尔蒙的男性 | 把女性折服 | Sexism | hate [END]
吴京 | 天天把自己打扮的阴柔的要死 | non-hate | non-hate [END]
钓鱼佬 | 永不空军 | Racism | hate [END]
亚非拉 | 别说我无情 | Racism | hate [END]
新疆 | 地域黑没新疆吗 | Region | hate [END]
东北人 | 一亿人 | non-hate | non-hate [END]
友军 | 没有加狗头,厚葬 | non-hate | non-hate [END]
西戎 南蛮 | 南蛮 | Region | hate [SEP] 我大中原人杰地灵 | Region | hate [END]
老一辈 | 确实是这样的 | non-hate | non-hate [END]
我 | 智商是硬伤啊 | non-hate | non-hate [END]
我 | 詹姆斯的球迷 | non-hate | non-hate [END]
钕全 | 一直钕全钕全的 | Sexism | hate [END]
她們家族男性 | 先對她們家族男性進行清算以證明勇氣 | Sexism | hate [END]
杨笠们 | 嘴里的普却信️️ | Sexism | hate [END]
你 | 器质性变化不好恢复 | non-hate | non-hate [END]
尼 | 真艾可以永远~ | Racism | hate [END]
白左 | 要殖民我们,少跟他们来往 | Racism | hate [END]
非洲 | 国内大山里都还有买卖媳妇的情况 | non-hate | non-hate [END]
南方人 | 祖先从我们河南逃过去 | Region | hate [SEP] 有血性的 | 也不会逃到南方吧 | Region | hate [END]
身边的人 | 被默默默默默默默默默默三通过,弄不好还有艾滋,整个人都不好了! | others | hate [END]
我 | 喜欢广c人说话 | non-hate | non-hate [END]
王者荣耀 | 要速速 | non-hate | non-hate [END]
新疆人 | 被歧视和其他省份人被歧视 | Region | hate [END]
你 | 坏蛋远离你 | Racism | hate [END]
黑人 | 看我们都是黄皮 | Racism | hate [END]
他们 | 没有智商 | non-hate | non-hate [END]
我 | 不能跟你说得太细,因为圈子太小了 | non-hate | non-hate [END]
我 | 是来加入你们的惹 | non-hate | non-hate [END]
他 | 不是种族歧视 他是物种歧视 | non-hate | non-hate [END]
中国 | 不是男人的中国 | non-hate | non-hate [END]
中国 | 14亿人总得有点奇葩 | non-hate | non-hate [END]
你 | 在东北 | non-hate | non-hate [END]
你 | gay? | non-hate | non-hate [END]
黑种人的智商,黄种人的体格 | 混的太成功啦 | Racism | hate [END]
这个老娘们 | 基本都没兄弟姐妹了 | Sexism | hate [END]
拿刀的女人 | 确实比强壮的空手男人战斗力高 | Sexism | hate [END]
他 | 矮姿患者 | non-hate | non-hate [END]
旧的 | 不一定好 | non-hate | non-hate [END]
这些女的 | 坚定的女拳 | Sexism | hate [END]
同性恋和异性恋 | 真爱 | LGBTQ | hate [END]
河南人 | 不太平 | non-hate | non-hate [END]
接盘侠 | 一位优秀的接盘侠 | non-hate | non-hate [END]
你 | 都去s | non-hate | non-hate [END]
基佬 | N待小动物 | LGBTQ | hate [END]
网址 | 以下是网址 | non-hate | non-hate [END]
黑人 | 找不找黑人都是自愿的 | Sexism, Racism | hate [END]
上海上戏 | 牛逼点的演员基本都是我们东北的占一大半 | non-hate | non-hate [END]
中国 | 不是男人的中国 | non-hate | non-hate [END]
南美棉花 | 小黑马 | Region | hate [END]
小仙女 | 不打扰小仙女了 | Sexism | hate [END]
理客中 | 是这样的 | non-hate | non-hate [END]
回族 | 小心被地域黑当成靶子 | Region | hate [END]
黑人 | 占领整个世界时,就是地球从毁灭的边缘复活过来 | Racism | hate [END]
荷兰老哥们 | 真聪明 | Region | hate [END]
你 | 搁这发鬼图呢? | non-hate | non-hate [END]
黑龙江人 | 还歧视辽宁吉林人 | Region | hate [END]
嫁给老黑还光荣的也就大陆妇女 | Racism | hate [END]
北方 | 在古代都南迁了 | non-hate | non-hate [END]
黑人 | 不把黑人画在择偶范围内 | Racism | hate [END]
东北叔叔阿姨 | 挺歧视的老辈人 | Region, Region, Region | hate [END]
你 | 把自己放在弱势群体一栏.... | non-hate | non-hate [END]
他们 | 一群闲人 | non-hate | non-hate [END]
东北话 | 学一口东北话去上海工作吧 | non-hate | non-hate [END]
黑人妹子 | 为啥不找个黑人妹子做女朋友? | Racism | hate [END]
泥革 | 能算是人?? | non-hate | non-hate [END]
河南小姑娘 | 极度自律 | non-hate | non-hate [END]
尼葛 | 能发这评论的,应该也只有尼葛吧 | Racism | hate [END]
你 | 身体吃不消 | non-hate | non-hate [END]
处女 | 把处女改成必需 | Sexism | hate [END]
你 | 把西安放哪了 | non-hate | non-hate [END]
黑人 | 这不仅仅是黑人的问题 | Racism | hate [SEP] 日本人韩国人 | 我膈应的 | Region | hate [END]
国内歧视这么严重 | 确实不应该冒险 | non-hate | non-hate [END]
你 | 能忍就忍呗 | non-hate | non-hate [END]
天津以北 | 就是冀东辽西了 | non-hate | non-hate [END]
她们 | 不要在中国 | Sexism | hate [END]
你 | 攻击他们去啊 | non-hate | non-hate [END]
你 | 混血 | non-hate | non-hate [END]
黑人 | 越多反而排名下降了 | Racism | hate [END]
中国 | 重返世界第一得地位 | non-hate | non-hate [END]
氙钕 | 怕事情败露自己删了吧 | Sexism | hate [END]
黑人 | 占领中国全靠生 | Racism | hate [END]
Nv拳 | 最大敌人是谁 | non-hate | non-hate [END]
普通女性 | 占女性总人口的比例还是太少了 | Sexism | hate [END]
大胸妹 | 精神茶党 | Sexism | hate [END]
猩猩 | 交配有什么稀奇的 | Racism | hate [END]
你 | 为什么要管白人的感受呢? | non-hate | non-hate [END]
女的 | 很娇贵 | Sexism | hate [END]
你 | 一看就是江苏的 | non-hate | non-hate [END]
东北人 | 就几个辽宁人这样说话你就当成所有辽宁人这样说话你就当成所有辽宁人这样说话你就当成所有辽宁人这样说话你就当成所有辽宁人这样说话你就当成所有辽宁人这样说话你就当成所有辽宁人这样说话你就当成所有辽宁人这样说话你就当成所有辽宁人都这样了好嘛? | Region | hate [END]
默 | 视频里还不是同一个默囧 | non-hate | non-hate [END]
混血 | 眼睛是蓝色 | non-hate | non-hate [END]
爱不爱的问题 | 不是爱不爱的问题是干净与否的问题 | non-hate | non-hate [END]
东北人 | 默不作声 | non-hate | non-hate [END]
黑蛆 | 没迈出意识层,了解黑蛆事关生死! | Racism | hate [END]
有些女的 | 喜欢玩新鲜感,认为外国男比郭楠好 | Sexism, Racism | hate [END]
北方人 | 被南方人叫侉子 | Region | hate [END]
那黑人 | 这不是恶心人吗 | Racism | hate [END]
一群母狗 | 什么事做不出来 | Sexism | hate [END]
你 | 一文不值达到从精神上控制你的作用 | non-hate | non-hate [END]
我爸 | 在广州被四川的骗过钱 | non-hate | non-hate [SEP] 我爸 | 现在提到四川的都是一股气 | non-hate | non-hate [END]
舔狗龟男 | 大多十分固执,不愿醒悟 | Sexism | hate [END]
法国 | 每年60%的新生儿是非婚生子女 | non-hate | non-hate [END]
你 | 歪理邪说还编的津津乐道呢? | non-hate | non-hate [END]
河北 | 偷井盖是事实 | Region | hate [END]
战士 | 不分性别的 | non-hate | non-hate [END]
黑人 | 外人 | Racism | hate [END]
上海 | 地域黑 | Region | hate [END]
黑皮 | 需要那么多嘴炮政客?还是黑皮 | Racism | hate [END]
女性 | 不受惩罚是吗? | non-hate | non-hate [END]
男生 | 变态很多呀 | non-hate | non-hate [END]
这货 | 删帖了 | non-hate | non-hate [END]
黑人 | 太黑了 | Racism | hate [END]
你 | 可能给你输出racial discrimination观念 | Racism | hate [END]
公司外派 | 在唐山上了三年班,人们都很亲切 | non-hate | non-hate [END]
我 | 愿称金庸为大师[哈哈] | non-hate | non-hate [END]
仙女营销号 | 这么快就破防了 | Sexism | hate [END]
离赤道越近的人 | 越黑 | Racism | hate [END]
黑人英雄 | 犯罪分子 | Racism | hate [END]
黑男 | 别在又想在中国占着资源,还骂着我们国家的男性 | Sexism, Racism | hate [END]
你 | 基佬 | 为什么要伤害自己人呢,不怕因果报应吗? | LGBTQ | hate [END]
黑河南 | 就只是玩梗 | Region | hate [END]
黑人 | 在哪个领域比别人强?嗯,犯罪领域 | Racism | hate [END]
女厕所 | 数量多于男厕所是违法滴 | Sexism | hate [END]
黑女 | 乱性的 | Sexism | hate [END]
JATOO | 也是食神 | Sexism | hate [END]
那个黑人 | 对中国友好,我倒也可以忍受 | Racism | hate [END]
黑人吧 | 早被我们反黑站了 | Racism | hate [END]
腐癌 | 腐癌 | LGBTQ | hate [END]
黑人 | 没见过黑人去选美的 | Racism | hate [END]
老黑 | 没觉得脏辫好看,也没觉得说唱好听,也没觉得说唱好听,也没觉得说唱好听,也没觉得说唱好听,别在这钓鱼了 | Racism | hate [END]
无耻透顶的女人 | 无耻透顶 | Sexism | hate [END]
乱性艾滋病 | 隐藏在后面的是乱性艾滋病 | non-hate | non-hate [END]
你们地域黑 | 这波贼喊捉贼有意思 | Region | hate [END]
贴吧的审核 | 要是没有慕刃,我把手机吃下去 | non-hate | non-hate [END]
北欧 | 一群炼铜海盗哦 | Region | hate [END]
艾滋病 | 要你命 | non-hate | non-hate [END]
华莱士 | 被黑得很惨 | Region | hate [END]
杰希 | 一听就是歪果仁 | Racism | hate [END]
说上海不排外的 | 没去过上海或者没生活经验的 | Region | hate [END]
你 | 就应该天天刷这答案 | non-hate | non-hate [END]
普信男国女 | 看不上 | Sexism | hate [END]
舔狗 | 很恶毒的男淫 | Sexism | hate [END]
男生180以下 | 就是残疾那时候了 | non-hate | non-hate [END]
你 | 东北人ba | non-hate | non-hate [END]
你 | 希望你被女的传染 | non-hate | non-hate [END]
txl | 直接煽风点火孤立*** | non-hate | non-hate [END]
楼主 | 被女权洗脑 | non-hate | non-hate [END]
浙江人 | 挺好的啊 | non-hate | non-hate [END]
浏览 | 没事的吧 | non-hate | non-hate [END]
东北人 | 听口音是东北人干的 | non-hate | non-hate [END]
女权 | 必须建立在一个稳定/处于上升期的社会 | Sexism | hate [END]
NULL | 十有八九是领美刀的 | Sexism | hate [END]
说这些的 | 有问题 | non-hate | non-hate [END]
他 | 反同态度吗? | LGBTQ | hate [END]
